record_id,model,concerns_living_things,organisms,organism_level,topic,about_organisms_themselves,ecological_purpose_stated,form,language,model_reason,input_tokens,output_tokens,thinking_tokens
oai:borealisdata.ca-dataverse-ubc:784853_73901,gemini-3.1-flash-lite,True,threespine sticklebacks; stickleback; Benthics; Limnetics,species,organisms,not_applicable,not_applicable,dataset,english,The record describes a study on the evolution and sexual dimorphism of threespine stickleback populations.,1008,144,
oai:data.torontopolice.on.ca-pages-open-data:79c8e950bfe54ce39334ba108e1b325f,gemini-3.1-flash-lite,False,,none,administrative,not_applicable,not_applicable,dataset,english,The record is an administrative dataset regarding police service calls related to persons in crisis.,1031,107,
oai:datadryad.org:doi:10.5061/dryad.h9w0vt4dx,gemini-3.1-flash-lite,True,Larix laricina; eastern larch; tamarack,species,organisms,not_applicable,not_applicable,report,english,"The record is a scientific study investigating the genetic history, isolation, and distribution of the tree species Larix laricina.",1118,141,
oai:datadryad.org:doi:10.5061/dryad.dv41ns25p,gemini-3.1-flash-lite,True,Sockeye; Salmon; Oncorhynchus; nerka; sockeye salmon; Oncorhynchus nerka,species,organisms,not_applicable,not_applicable,dataset,english,The record describes a study on the physiological condition and salinity preference of sockeye salmon smolts.,965,160,
oai:datadryad.org:doi:10.5061/dryad.x0k6djj12,gemini-3.1-flash-lite,True,Arctic charr; salmonid,species,organisms,not_applicable,not_applicable,dataset,english,The record provides data and code regarding the migration and trophic niche use of Arctic charr populations.,1031,126,
oai:open.canada.ca:eb3d7bf5-02fc-4fc1-9977-949f10e716e5,gemini-3.1-flash-lite,False,,none,administrative,not_applicable,not_applicable,policy,french,The record describes administrative regulations regarding wage rates and working conditions for federal construction contracts.,1035,107,
oai:open.canada.ca:b0923b61-2d1a-462b-a0af-5d98b2aa793c,gemini-3.1-flash-lite,False,,none,other,not_applicable,not_applicable,dataset,french,The record provides economic data regarding the Market Basket Measure thresholds and does not mention living organisms or ecosystems.,781,111,
oai:catalogue.cioos.ca:e0b3ef1f-c777-48c9-acf0-0ac1edc67be2,gemini-3.1-flash-lite,False,,none,physical_environment,not_applicable,not_applicable,dataset,french,"The record describes the deployment of a carbon dioxide sensor in the ocean to measure chemical concentrations, which is a physical environment measurement.",946,118,
oai:open.canada.ca:08220a26-2e88-402c-876f-1891456b0c37,gemini-3.1-flash-lite,True,population yukonnaise,species,human_health,not_applicable,not_applicable,report,french,The record describes health status reports concerning the human population of Yukon.,770,116,
oai:data.ontario.ca:financial-and-student-data-for-the-dual-credits-program,gemini-3.1-flash-lite,False,,none,administrative,not_applicable,not_applicable,dataset,french,The record describes financial and student data for an educational program and does not mention any living organisms or ecosystems.,846,112,
oai:open.canada.ca:8f044bba-1182-45ff-a29f-43631e0155a9,gemini-3.1-flash-lite,True,poissons; têtes-de-boule; Pimephales promelas,species,organisms,not_applicable,not_applicable,report,french,The record describes a toxicological study on the effects of snowmelt contaminated by oil sands emissions on the survival and development of larval fish (Pimephales promelas).,1917,155,
oai:catalogue.data.gov.bc.ca:pending-pesticide-operating-zone-110381,gemini-3.1-flash-lite,True,,none,forestry_agriculture_fisheries,no,not_applicable,dataset,english,"The record concerns pesticide application zones which relates to agriculture management, but it focuses on the administrative zone rather than the organisms themselves.",748,119,
oai:open.ottawa.ca:13092822f69143b695bdb916357d421b,gemini-3.1-flash-lite,True,Trees,group,forestry_agriculture_fisheries,yes,not_applicable,dataset,english,"The record describes a tree inventory for streets and parks, which concerns the management of tree populations.",750,115,
oai:borealisdata.ca-dataverse-ualberta:220744_203146,gemini-3.1-flash-lite,True,infants,species,human_health,not_applicable,not_applicable,report,english,The record describes a medical study on the ventilatory control and sleep disordered breathing in human infants with cleft lip and/or palate.,883,128,
oai:catalogue.data.gov.bc.ca:wsa-third-order-and-greater-watersheds-50-000,gemini-3.1-flash-lite,False,,none,land_and_boundaries,not_applicable,no,dataset,english,"The record describes a dataset of watershed polygons based on topographic maps and stream classification, which is a cartographic product without an ecological purpose stated.",782,121,
oai:open.canada.ca:399fa7e0-8900-42db-8f34-7849fc2f647f,gemini-3.1-flash-lite,False,,none,administrative,not_applicable,not_applicable,dataset,french,The record describes a government financial classification dataset related to public administration and economics.,794,106,
oai:open.canada.ca:c00f95a3-7bab-4d28-b9cc-b30f06b5afd2,gemini-3.1-flash-lite,False,,none,physical_environment,not_applicable,not_applicable,dataset,french,"The record describes a dataset of flood susceptibility maps based on climate scenarios and meteorological data, with no mention of living organisms.",1144,117,
oai:borealisdata.ca-dataverse-carleton:81898_157_81319_81325_81754,gemini-3.1-flash-lite,False,,none,other,not_applicable,not_applicable,dataset,english,"The record is a public opinion poll concerning political, economic, and social issues, which does not involve living organisms or ecosystems.",892,116,
oai:datadryad.org:doi:10.5061/dryad.1v244,gemini-3.1-flash-lite,True,Bromeliaceae; Vriesea procera; Odontomachus hastatus; insects; Ostracoda; Helobdella sp.; metazoans,species,organisms,not_applicable,not_applicable,dataset,english,The record is a dataset describing the effects of a predatory ant species on the composition and density of various organisms within bromeliad ecosystems.,1195,177,
oai:open.canada.ca:0bc6c735-36b9-4241-be58-b39b6199ea4d,gemini-3.1-flash-lite,True,oiseaux; oiseaux des prairies,group,organisms,not_applicable,not_applicable,dataset,french,The record provides population trend data for bird species and groups based on the North American Breeding Bird Survey.,1170,128,
oai:open.canada.ca:f54da23c-3a17-11ef-90aa-8b219c568296,gemini-3.1-flash-lite,True,touladi; poissons; caribou,species,forestry_agriculture_fisheries,yes,not_applicable,dataset,french,"The record describes a dataset focused on monitoring fish populations and sustainable fishing levels in Great Bear Lake, while also collecting water temperature data.",1582,142,
oai:open.canada.ca:7a1f486b-e43f-49d6-bfe7-e85305101568,gemini-3.1-flash-lite,False,,none,other,not_applicable,not_applicable,dataset,french,The record describes a dataset of oil and gas facility locations and does not mention any living organisms or ecosystems.,908,112,
oai:open.canada.ca:3a24f406-b4b7-0aae-18b7-14e46f16c2ba,gemini-3.1-flash-lite,False,,none,administrative,not_applicable,not_applicable,dataset,english,"The record is a census dataset regarding human ethnicity and administrative geographies, which does not concern living organisms or ecosystems.",894,113,
oai:borealisdata.ca-dataverse-lakehead:921463_403479,gemini-3.1-flash-lite,True,meadow vole,species,organisms,not_applicable,not_applicable,dataset,english,The record describes a dataset regarding the foraging behavior of meadow voles in response to different treatments.,969,120,
oai:open.canada.ca:cf38b746-086b-4ae9-8bc8-98d1d046a8c0,gemini-3.1-flash-lite,True,humans,species,human_health,not_applicable,not_applicable,dataset,french,The record provides statistical data on human mortality causes classified by the ICD-9 system.,792,118,
oai:frdr-dfdr.ca-go-mountainlegacy:oai:www.frdr-dfdr.ca:0bec66da-d25e-5457-e29b-3828ca09f7c4,gemini-3.1-flash-lite,True,,none,habitat_or_ecosystem,not_applicable,not_applicable,dataset,english,The record describes a dataset of historical and repeat landscape photography used to assess environmental change in the Canadian Rocky Mountains.,920,118,
oai:borealisdata.ca-dataverse-ubc:152886_150149,gemini-3.1-flash-lite,True,phytoplankton; green alga; Tetraselmis tetrahele,species,organisms,not_applicable,not_applicable,dataset,english,"The record is a dataset concerning the population growth rates and thermal performance of phytoplankton species, specifically Tetraselmis tetrahele.",957,143,
oai:open.library.ubc.ca-cIRcle-collections-birs:oai:circle.library.ubc.ca:2429/66435,gemini-3.1-flash-lite,True,Drosophila melanogaster; Drosophila; mammalian,species,organisms,not_applicable,not_applicable,other,english,The record describes a mathematical model of a biological signaling pathway in Drosophila melanogaster and mammalian cells.,912,131,
oai:open.canada.ca:8cf43e2b-f276-4fb7-8d3a-e20fecc618b4,gemini-3.1-flash-lite,True,humpback whales; rorquals à bosse; rorqual bleu; baleines,species,organisms,not_applicable,not_applicable,dataset,french,The record describes a dataset of humpback whale distribution and photo-identification based on research conducted by the Mingan Island Cetacean Study.,1165,154,
oai:opendata.gov.nt.ca:2013-hunted-fished-or-trapped-by-community,gemini-3.1-flash-lite,True,fish,group,forestry_agriculture_fisheries,no,not_applicable,dataset,english,"The record documents traditional hunting, fishing, and trapping activities by community, which relates to the management and harvest of organisms as a resource.",769,129,
oai:open.canada.ca:57aec7ec-b2b2-500e-a0ba-77e64ed20fa9,gemini-3.1-flash-lite,False,,none,physical_environment,not_applicable,not_applicable,dataset,french,"The record describes an airborne geophysical survey measuring total magnetic field, which is a physical measurement with no mention of living organisms.",840,117,
oai:datadryad.org:doi:10.5061/dryad.gr93t,gemini-3.1-flash-lite,True,Compositae; Asteraceae,group,organisms,not_applicable,not_applicable,dataset,english,The record describes a dataset containing phylogenetic sequence data for the plant family Compositae.,955,125,
oai:datadryad.org:doi:10.5061/dryad.pnvx0k6nk,gemini-3.1-flash-lite,True,mountain bluebirds; Sialia currucoides; beetles; cicadas; grasshoppers; insect larvae; spiders,species,organisms,not_applicable,not_applicable,report,english,"The record is a research study investigating the diet composition, growth, and condition of mountain bluebird nestlings.",1136,164,
oai:borealisdata.ca-dataverse-toronto:290437_36,gemini-3.1-flash-lite,False,,none,administrative,not_applicable,not_applicable,dataset,english,The record is a statistical yearbook containing broad socio-economic data and does not focus on specific living organisms or ecosystems.,983,114,
oai:catalogue.data.gov.bc.ca:isobel-lake-ecosystem-mapping-stand-structure-kamloops-tsa,gemini-3.1-flash-lite,True,,none,habitat_or_ecosystem,not_applicable,not_applicable,dataset,english,"The record describes ecosystem mapping and stand structure for a specific lake area, which pertains to habitat and ecosystem characteristics.",755,118,
oai:datadryad.org:doi:10.5061/dryad.n6c67,gemini-3.1-flash-lite,True,Centaurea jacea; Euphorbia cyparissias; Tussilago farfara; Penstemon hirsutus; Hieracium kalmii; Podophyllum peltatum; Mirabilis spp.; Medicago lupulina; Hackelia virginiana; Lythrum salicaria; Phlox paniculata; Urtica chamaedryoides; Trifolium dubium; Anemone canadensis; Antennaria neglecta; Ranunculus acris; Rumex crispus; Conzya canadensis; Oxalis corniculata; Trillium spp.; Leonurus cardiaca; Lotus corniculatus; Trifolium hybridum; Urtica dioica; Acrtium minus; Matricaria matricarioides; Veronica serpyllifolia; Lysimachia ciliata; Verbena hastata; Phryma leptostachya; Ambrosia trifida; Rumex acetosella; Echium vulgare; Malva neglecta; Geranium robertanium; Campanula rapunculoides; Oenothera biennis; Cerastium vulgatum; Sisyrinchium montanum; Erigeron philadelphicus; Aster cordifolius; Hydrophyllum virginianum; Cerastium arvense; Hespersis matronalis; Polygonum persicaria; Melilotus officinalis; Geum triflorum; Daucus carota; Actaea alba; Melilotus alba; Medicago sativa; Silene nivea; Symphytum spp.; Desmodium spp.; Lathyrus latifolius; Thlaspi arvense; Sonchus oleraceus; Solidago canadensis; Anemone virginiana; Smilacina racemosa; Lactuca serriola; Impatiens capensis; Campanula rotundifolia; Achillea millefolium; Helianthus divaricatus; Oenothera perennis; Gallium mollugo; Veronica peregrina; Taraxacum officinale; Prunella vulgaris; Verbascum thapus; Aquilegia canadensis; Ambrosia artemisiifolia; Linaria vulgaris; Apocynum androsaemifolium; Dianthus armeria; Geranium maculatum; Stellaria media; Carduus acanthoides; Arassica rapa; Erigeron strigosus; Saponaria officinalis; Isanthus brachiatus; Potentilla recta; Anaphalis margaritacea; Tragopogon pratensis; Solidago flexicaulis; Hieracium piloselloides; Arenaria serpyllifolia; Matricaria recutita; Glechoma hederacea; Cirsium muticum; Chenopodium capitatum; Eupatorium maculatum; Agrimonia gryosepala; Cirsium vulgare; Allium cernuum; Asclepsias syriaca; Thymus serpyllum; Barbarea vulgaris; Aster lanceolatus; Plantago lanceolata; Aster umbellata; Veronica arvensis; Epilobium hirsutum; Solidago juncea; Trifolium pratense; Fragaria virginiana; Geum canadense; Convolvulus arvensis; Solidago caesia; Cynoglossum officinale; Chrysanthemum leucanthemum; Sedum acre; Cichorium intybus; Verbena simplex; Vincetoxicum rossicum; Coronilla varia; herbaceous species; Alliara petiolata; Vicia cracca; Aster novae-angliae; Silene vulgaris; Plantago major; Potentilla argentea; Lobelia cardinalis; Arabis glabra; Hieracium spp.; Inula helenium; Epipactis helleborine; Mentha arvensis; Asclepsias incarnata; Lapsana communis; Clinopodium vulgaris; Euthamia graminifolia; Sonchus arvensis; Hieracium aurantiacum; Hypericum perforatum; Lactuca saligna,species,organisms,not_applicable,not_applicable,dataset,english,The record is a dataset containing measurements of body size metrics for various herbaceous plant species.,1996,1352,
oai:datadryad.org:doi:10.5061/dryad.v6wwpzh8p,gemini-3.1-flash-lite,True,mammals,group,organisms,not_applicable,not_applicable,dataset,english,The record is a dataset containing home range estimates and biological traits for various mammal species to study movement ecology.,892,115,
oai:open.moncton.ca:86446234c49d47bb8cbcbcf95e8698c3,gemini-3.1-flash-lite,False,,none,administrative,not_applicable,not_applicable,other,english,The record is a public notice regarding administrative or municipal matters in Moncton and does not mention living things or ecological topics.,739,115,
oai:datadryad.org:doi:10.5061/dryad.wpzgmsbt0,gemini-3.1-flash-lite,True,Salmon; Trout; Atlantic salmon; Salmo salar; brook char; Salvelinus fontinalis; brown trout; Salmo trutta,species,organisms,not_applicable,not_applicable,dataset,english,The record describes a research study on sperm competition and hybridization potential among specific fish species.,1078,165,
oai:data.whiterockcity.ca:ef4f25fac0c74beabd67fff2f442954c,gemini-3.1-flash-lite,False,,none,administrative,not_applicable,not_applicable,dataset,english,"The record describes sanitary catchment areas related to sewer infrastructure, which is an administrative or utility-based topic.",743,112,
oai:catalogue.data.gov.bc.ca:forest-tenure-chart-block-polygons,gemini-3.1-flash-lite,True,forest,group,forestry_agriculture_fisheries,no,not_applicable,dataset,english,"The record describes spatial data for forest tenure boundaries and administrative chart blocks, which relates to forestry management rather than the organisms themselves.",902,127,
oai:datadryad.org:doi:10.5061/dryad.351h3,gemini-3.1-flash-lite,True,European whitefish; Coregonus lavaretus; lake whitefish,species,organisms,not_applicable,not_applicable,dataset,english,The record is a dataset describing phenotypic and genetic associations in European whitefish populations.,998,134,
oai:open.canada.ca:61719676-f1a3-5ec3-8b0e-a091a3c13f8a,gemini-3.1-flash-lite,True,faune,group,physical_environment,not_applicable,not_applicable,dataset,french,"The record describes a map and dataset of snow depth measurements, which mentions wildlife protection as one of the reasons for the data collection.",1312,128,
oai:catalogue.data.gov.bc.ca:mgmnt-initiative-crown-land-priority-habitat-south-okanagan-soscp,gemini-3.1-flash-lite,True,,none,land_and_boundaries,not_applicable,yes,dataset,english,The record describes a dataset of polygons identifying priority habitats for conservation management purposes in the South Okanagan.,788,112,
oai:https-zenodo.org:10.5281/zenodo.10963217,gemini-3.1-flash-lite,False,,none,other,not_applicable,not_applicable,dataset,english,The record describes a software engineering dataset related to code refactoring and code analysis tools.,909,108,
oai:open.canada.ca:c2939964-9f0d-d6fc-340c-5899752871ee,gemini-3.1-flash-lite,False,,none,administrative,not_applicable,not_applicable,dataset,french,The record describes administrative community clusters used for health service planning and research.,818,106,
oai:open.penticton.ca:561f405e335f484da13e95a90a698272,gemini-3.1-flash-lite,True,,none,land_and_boundaries,not_applicable,no,other,english,The record is a topographic map of a city that mentions parks and reserves but does not focus on specific organisms or ecological data.,899,118,
oai:borealisdata.ca-dataverse-odesi-data:593918_493340,gemini-3.1-flash-lite,False,,none,other,not_applicable,not_applicable,dataset,english,"The record describes a survey of household environmental behaviours and indicators such as energy use and waste management, which does not focus on living organisms or ecosystems.",935,120,
oai:borealisdata.ca:386823_200569,gemini-3.1-flash-lite,True,wooded areas,group,land_and_boundaries,not_applicable,no,dataset,english,"The record is a georeferenced raster image of a topographic map which depicts land features including wooded areas, but does not state an ecological or conservation purpose.",1100,135,
oai:pangaea.de:10.1594/pangaea.962114,gemini-3.1-flash-lite,False,,none,physical_environment,not_applicable,not_applicable,dataset,english,"The record describes video data collected by an ROV focused on sea ice physics and atmospheric conditions, with no mention of living organisms.",954,119,
oai:borealisdata.ca-dataverse-odesi-data:595293_493340,gemini-3.1-flash-lite,False,,none,other,not_applicable,not_applicable,dataset,english,"The record describes a survey regarding international travel and tourism statistics, which does not involve living organisms or ecosystems.",840,112,
oai:catalogue.data.gov.bc.ca:lw-test4,gemini-3.1-flash-lite,False,,none,other,not_applicable,not_applicable,other,english,The record contains no information about living things or any specific subject matter.,726,106,
oai:donneesquebec.ca:systeme-de-grilles-vectorielles-pour-une-infrastructure-quebecoise-de-donnees-spatiales,gemini-3.1-flash-lite,True,,none,land_and_boundaries,not_applicable,yes,dataset,french,"The record describes a vector grid system used for land accounting and ecosystem accounting, which includes ecological reference frameworks.",2369,114,
oai:datadryad.org:doi:10.5061/dryad.cz8w9gj2c,gemini-3.1-flash-lite,True,host; parasite; pathogen,group,organisms,not_applicable,not_applicable,dataset,english,The record is a dataset about genetic variation in host-parasite coevolutionary models.,995,129,
oai:open.canada.ca:a86ebc7b-83b1-4a9b-a935-84061f6cbd39,gemini-3.1-flash-lite,True,goélands; sternes; goéland à bec cerclé; sterne pierragarin,species,organisms,not_applicable,not_applicable,dataset,french,The record describes a study on contaminant levels in the eggs of specific bird species to monitor environmental conditions.,1019,146,
oai:borealisdata.ca-dataverse-odesi-data:52311_493341,gemini-3.1-flash-lite,False,,none,other,not_applicable,not_applicable,dataset,english,"The record describes a statistical survey of Canadian business strategies and innovation practices, which does not involve living organisms or ecosystems.",883,114,
oai:open.moncton.ca:2e6cc6e186c1429f90209c8d512cbcce,gemini-3.1-flash-lite,False,,none,administrative,not_applicable,not_applicable,other,french,"The record is an administrative form regarding urban planning and rezoning, which does not involve living organisms.",733,111,
oai:borealisdata.ca-dataverse-inrs:659512_134725,gemini-3.1-flash-lite,True,Chlamydomomas reinhardtii; Nitzschia palea; Diatom; Unicellular green alga; green alga; C. reinhardtii; diatom; N. palea,species,organisms,not_applicable,not_applicable,dataset,english,The record is a dataset containing experimental measurements on specific microalgae species exposed to platinum.,850,183,
oai:https-zenodo.org:10.5281/zenodo.17486536,gemini-3.1-flash-lite,True,avian influenza,group,organisms,not_applicable,not_applicable,dataset,english,The record provides datasets related to the surveillance and forecasting of avian influenza cases and associated web-based data.,1294,121,
oai:donneesquebec.ca:ecoparc,gemini-3.1-flash-lite,False,,none,land_and_boundaries,not_applicable,no,dataset,french,"The record provides the location of waste management facilities (écoparcs) in the city of Repentigny, which is a land-based administrative dataset.",755,124,
oai:open.library.ubc.ca-cIRcle-collections-birs:oai:circle.library.ubc.ca:2429/75898,gemini-3.1-flash-lite,False,,none,other,not_applicable,not_applicable,report,english,The record is a mathematical research paper concerning operator theory and dynamical systems with no mention of living organisms or ecosystems.,915,113,
oai:borealisdata.ca-dataverse-queens:563223_563202,gemini-3.1-flash-lite,False,,none,administrative,not_applicable,not_applicable,dataset,english,The record describes a social science dataset regarding Canadian federal elections and public opinion polls.,984,107,
oai:datadryad.org:doi:10.5061/dryad.s2692,gemini-3.1-flash-lite,True,arbuscular mycorrhizal (AM) fungi; Plantago lanceolata; mycorrhizae,species,organisms,not_applicable,not_applicable,dataset,english,The record is a dataset about plant-soil feedbacks and competition involving specific plant and fungal species.,1101,142,
oai:datadryad.org:doi:10.5061/dryad.sxksn03fh,gemini-3.1-flash-lite,True,,none,organisms,not_applicable,not_applicable,dataset,english,"The record is a dataset about genetic covariances and the evolution of sexual dimorphism in various species, focusing on evolutionary biology rather than a specific organism.",1010,121,
oai:open.ottawa.ca:dccee3ab9f414b98aa8a9af461f093b9,gemini-3.1-flash-lite,False,,none,other,not_applicable,not_applicable,dataset,english,"The record concerns socioeconomic data regarding youth employment, education, and training status, which does not involve living organisms or ecosystems.",999,115,
oai:borealisdata.ca-dataverse-odesi-data:571722_493340,gemini-3.1-flash-lite,False,,none,administrative,not_applicable,not_applicable,dataset,french,"The record describes a labour force survey focused on employment, unemployment, and demographic statistics, which does not concern living organisms or ecosystems.",1453,117,
oai:borealisdata.ca-dataverse-carleton:108981_106202,gemini-3.1-flash-lite,False,,none,other,not_applicable,not_applicable,report,english,The record is an architectural and historical assessment of a museum building and does not concern living organisms or ecosystems.,1075,112,
oai:open.canada.ca:e736c0f0-b19e-4842-903d-28bfc756d48a,gemini-3.1-flash-lite,True,espèces benthiques; cnidaires,group,organisms,not_applicable,not_applicable,dataset,french,The record describes a dataset documenting the presence and absence of benthic species and taxa in the Bay of Fundy.,1473,131,
oai:https-zenodo.org:10.5281/zenodo.16333905,gemini-3.1-flash-lite,True,urban vegetation,group,habitat_or_ecosystem,not_applicable,not_applicable,dataset,english,"The record provides analysis and plotting code for urban vegetation models, which concerns the ecosystem and vegetation as a group.",756,127,
oai:donneesquebec.ca:milieux-humides-levis,gemini-3.1-flash-lite,True,,none,habitat_or_ecosystem,not_applicable,not_applicable,dataset,french,"The record describes potential wetland areas which are ecosystems, but does not name specific organisms.",782,113,
oai:opendata.kelowna.ca:7a48a34402704a66840d27e2854887b1,gemini-3.1-flash-lite,True,fish,group,land_and_boundaries,not_applicable,yes,dataset,english,The record describes a mapping project for creeks and aquatic habitats with an explicit conservation purpose for fish and aquatic ecosystems.,820,123,
oai:open.canada.ca:88e9b97e-501b-43e2-8570-84830f85455b,gemini-3.1-flash-lite,False,,none,other,not_applicable,not_applicable,dataset,french,"The record is a statistical dataset concerning retail trade and economic sectors, which does not involve living organisms or ecosystems.",921,113,
oai:data-hrm.hub.arcgis.com-pages-open-data-catalogue:b18c30ed07ca40edb9d99cee95205540,gemini-3.1-flash-lite,True,,none,land_and_boundaries,not_applicable,yes,dataset,english,"The record describes a raster dataset representing overlapping ecological, working landscape, and socio-cultural values for land planning purposes within the Halifax Green Network Plan.",852,122,
oai:open.canada.ca:a5a4774a-7a4e-4c4e-8901-da48c1c2d6e8,gemini-3.1-flash-lite,True,espèces d'arbres,group,habitat_or_ecosystem,not_applicable,not_applicable,dataset,french,"The record describes a dataset of greenhouse gas emissions from forested ecosystems within national parks, focusing on carbon dynamics rather than the management of trees as a resource.",1497,138,
oai:borealisdata.ca-dataverse-ubc:992969_150149,gemini-3.1-flash-lite,True,pollinator; hoverflies; solitary bees; bumble bees; butterflies,group,organisms,not_applicable,not_applicable,dataset,english,The record provides data on habitat thresholds for various pollinator groups to inform conservation strategies.,899,143,
oai:catalogue.data.gov.bc.ca:coniferous-forest-habitat-south-okanagan-similkameen-soscp,gemini-3.1-flash-lite,True,Coniferous Forest,group,habitat_or_ecosystem,not_applicable,not_applicable,dataset,english,The record describes a dataset of coniferous forest habitat within a specific conservation program area.,772,122,
oai:open.alberta.ca:agri-food-exports-by-type-of-product-alberta-and-canada-value,gemini-3.1-flash-lite,True,agri-food,group,forestry_agriculture_fisheries,no,not_applicable,dataset,english,The record provides statistical data on the economic value of agri-food exports rather than information about the organisms themselves.,801,127,
oai:datadryad.org:doi:10.5061/dryad.80gb5mm12,gemini-3.1-flash-lite,True,Sharks; Chondrichthyes; Skates and rays; carcharhiniform shark,group,organisms,not_applicable,not_applicable,dataset,english,The record provides data and scripts related to the evolutionary biology and reproductive modes of sharks and rays.,1247,145,
oai:open.canada.ca:ea19053d-95bb-4f34-b4bd-e9d29a46efe5,gemini-3.1-flash-lite,True,Rocky Mountain Ridged Mussel; gonidée des Rocheuses; Gonidea angulata,species,organisms,not_applicable,not_applicable,dataset,french,The record provides survey data on the distribution of a specific mussel species.,793,136,
oai:data.novascotia.ca:g482-y2e5,gemini-3.1-flash-lite,True,,none,administrative,not_applicable,not_applicable,dataset,english,"The record tracks visitor attendance statistics for a wildlife park, which is an administrative dataset rather than a study of the organisms themselves.",761,116,
oai:open.library.ubc.ca-cIRcle-collections-birs:oai:circle.library.ubc.ca:2429/69022,gemini-3.1-flash-lite,False,,none,other,not_applicable,not_applicable,report,english,The record is a mathematical presentation about physical models of charged liquid drops and does not concern living organisms.,865,111,
oai:open.library.ubc.ca-cIRcle-collections-birs:oai:circle.library.ubc.ca:2429/72238,gemini-3.1-flash-lite,False,,none,other,not_applicable,not_applicable,other,english,"The record is about mathematical models and group theory, and does not concern living organisms.",971,108,
oai:open.ottawa.ca:99ddf34e2c304f938e6bb98efb868c55,gemini-3.1-flash-lite,False,,none,administrative,not_applicable,not_applicable,dataset,english,The record is about quarterly operating budget status reports for a local government and does not mention any living organisms or ecological topics.,792,115,
oai:mydata-kamloops.opendata.arcgis.com:f2218e97f9d4497dbe4d047d0a23e0ac,gemini-3.1-flash-lite,False,,none,land_and_boundaries,not_applicable,no,dataset,english,"The record describes census dissemination area boundaries for the City of Kamloops, which is a geographic and administrative dataset.",845,115,
oai:data-princeedwardisland-peigov.hub.arcgis.com:265f2d1210b348b2971c18b5fd4a2372,gemini-3.1-flash-lite,False,,none,administrative,not_applicable,not_applicable,dataset,english,The record tracks administrative data regarding referrals to a victim services program and does not concern living organisms or ecosystems.,757,112,
oai:open.canada.ca:1084c80d-e3bb-490d-988d-0bae708a0b53,gemini-3.1-flash-lite,True,Placopecten magellanicus; Chlamys islandica; pétoncles; pétoncle géant; pétoncle d'Islande,species,forestry_agriculture_fisheries,yes,not_applicable,dataset,french,The record describes a research dataset concerning the stock assessment and biometric data of specific scallop species for fisheries management purposes.,1431,166,
oai:frdr-dfdr.ca-go-waterinstitute:oai:www.frdr-dfdr.ca:5e3feeb3-62c2-4383-88ee-80b4b536ffca,gemini-3.1-flash-lite,True,,none,physical_environment,not_applicable,not_applicable,dataset,english,"The record describes a dataset concerning the physical and chemical distribution of microplastics in stormwater ponds, which are identified as ecosystems.",1002,117,
oai:https-zenodo.org:10.5281/zenodo.17036062,gemini-3.1-flash-lite,True,Deer,species,organisms,not_applicable,not_applicable,dataset,english,"The record provides code and data for a phylogenetic study of deer, which concerns living organisms.",772,117,
oai:circle.library.ubc.ca:oai:circle.library.ubc.ca:2429/81697,gemini-3.1-flash-lite,True,eukaryotes; bacteria; cyanobacteria; algae,group,organisms,not_applicable,not_applicable,dataset,english,The record describes a computational model developed to predict trophic mechanisms in various eukaryotic organisms based on genomic and proteomic data.,1214,141,
oai:open.canada.ca:359a4124-58eb-49b8-814b-92520b9a7038,gemini-3.1-flash-lite,False,,none,land_and_boundaries,not_applicable,no,dataset,french,The record describes cadastral and land survey data for administrative and property mapping purposes.,917,109,
oai:open.canada.ca:5c3a224f-9c69-5fc8-104e-7c81a4f32879,gemini-3.1-flash-lite,True,cerfs; wapitis; orignaux; caribous,species,organisms,not_applicable,not_applicable,other,french,The record provides information about drop-off sites for testing specific wildlife species for Chronic Wasting Disease and Bovine TB.,984,144,
oai:catalogue.data.gov.bc.ca:red-tailed-chipmunk-tamias-ruficaudus-ruficaudus-range-within-the-columbia-basin-1-250-000,gemini-3.1-flash-lite,True,Red-tailed Chipmunk; Tamias ruficaudus ruficaudus; terrestrial mammal; chipmunk; small mammal,species,organisms,not_applicable,not_applicable,dataset,english,"The record provides a map dataset of the range of a specific species, the Red-tailed Chipmunk.",863,157,
oai:catalogue.data.gov.bc.ca:consolidated-wetlands-polygons,gemini-3.1-flash-lite,True,wetland,group,land_and_boundaries,not_applicable,yes,dataset,english,The record describes a spatial dataset of wetland polygons created for ecosystem management and mapping purposes under a climate solutions agreement.,916,124,
oai:open.canada.ca:09b4dab0-96bb-574d-82fa-339bbbbd8522,gemini-3.1-flash-lite,True,végétation,group,land_and_boundaries,not_applicable,no,dataset,french,"The record describes a dataset of satellite imagery used for land cover and climate change studies, mentioning vegetation indices.",1176,123,
oai:opendata.kelowna.ca:63643feed3c441e9bed0cef9e3a4548a,gemini-3.1-flash-lite,True,fish,group,land_and_boundaries,not_applicable,yes,dataset,english,The record describes a mapping project for creeks and aquatic habitats with an explicit conservation and protection purpose.,822,120,
oai:geoportal.gov.mb.ca:db0d56585cab42a68f01e4c1640182f9,gemini-3.1-flash-lite,True,,none,land_and_boundaries,not_applicable,yes,dataset,english,"The record is a map dataset of protected areas, which is a land and boundary topic with a stated ecological purpose of identifying protected areas.",1009,120,
