record_id,model,concerns_living_things,organisms,organism_level,topic,about_organisms_themselves,ecological_purpose_stated,form,language,model_reason,input_tokens,output_tokens,thinking_tokens
oai:open.canada.ca:f111dd5f-fc77-4ea9-aa87-52ecda8c6b8e,gemini-3.5-flash-lite,True,œufs,group,forestry_agriculture_fisheries,no,not_applicable,dataset,french,"The record is about the import and export quantities of eggs, categorized under agriculture.",770,113,
oai:open.canada.ca:3c4c0584-8ead-4a1d-962d-2d0904c9e633,gemini-3.5-flash-lite,False,,none,administrative,not_applicable,not_applicable,dataset,english,"The record contains financial and economic data for a railway company, which does not involve living organisms or ecosystems.",807,112,
oai:datadryad.org:doi:10.5061/dryad.dm690,gemini-3.5-flash-lite,True,Clarkia arcuata; Oenothera longituba; Oenothera tubifera; Oenothera brachycarpa; Oenothera siambonensis; Chylismia megalantha; Oenothera tetraptera; Oenothera brandegeei; Oenothera calcicola; Clarkia purpurea; Oenothera villaricae; Oenothera drummondii; Oenothera multicaulis; Oenothera acutissima; Camissoniopsis proavita; Oenothera grandis; Camissoniopsis cheiranthifolia; Taraxia tanacetifolia; Oenagraceae; Oenothera rosea; Clarkia affinis; Oenothera oakesiana; Clarkia pulchella; Oenothera indecora; Oenothera engelmannii; Oenothera recurva; Oenothera sinuosa; Oenothera grisea; Oenothera arizonica; Oenothera gaura; Oenothera peruana; Oenothera deserticola; Oenothera californica; Oenothera longissima; Clarkia stellata; Camissonia strigulosa; Oenothera coloradensis; Clarkia heterandra; Oenothera triangulata; Oenothera muelleri; Clarkia lassenensis; Oenothera orizabae; Oenothera boquillensis; Oenothera howardii; Oenothera acaulis; Oenothera filipes; Camissoniopsis lewisii; Oenothera coronopifolia; Oenothera magellanica; Clarkia speciosa; Chylismia scapoidea; Oenothera nutans; Oenothera filiformis; Oenothera elongata; Oenothera affinis; Clarkia cylindrica; Clarkia rostrata; Clarkia dudleyana; Oenothera hexandra; Clarkia franciscana; Camissoniopsis intermedia; Xylonagra arborea; Clarkia modesta; Oenothera lasiocarpa; Camissoniopsis hirtella; Clarkia lewisii; Oenothera biennis; Oenothera epilobiifolia; Oenothera parviflora; Oenothera albicaulis; Oenothera catharinensis; Oenothera luciae-julianiae; Camissonia dentata; Clarkia virgata; Oenothera breedlovei; Oenothera tarijensis; Oenothera harringtonii; Oenothera bahia-blancae; Camissoniopsis confusa; Oenothera patriciae; Oenothera xylocarpa; Chylismia claviformis; Clarkia concinna; Oenothera argillicola; Oenothera macrosceles; Oenothera flava; Oenothera wolfii; Taraxia subacaulis; Chylismia multijuga; Oenothera wigginsii; Camissonia integrifolia; Oenothera riparia; Clarkia exilis; Oenothera berlandieri; Gayophytum micranthum; Oenothera lavandulifolia; Oenothera fruticosa; Oenothera anomala; Oenothera laciniata; Clarkia epilobioides; Clarkia borealis; Eulobus sceptrostigma; Oenothera nana; Oenothera sufrutescens; Gayophytum eriospermum; Oenothera heterophylla; Clarkia lingulata; Oenothera serrulata; Oenothera canescens; Oenothera cavernae; Camissoniopsis bistorta; Oenothera suffulta; Chylismia exilis; Gayophytum diffusum diffusum; Oenothera nocturna; Eremothera minor; Camissoniopsis micrantha; Oenothera stubbei; Clarkia springvillensis; Oenothera humifusa; Clarkia biloba; Tetrapteron palmeri; Oenothera perennis; Oenothera odorata; Eremothera boothii; Oenothera mexicana; Oenothera cinerea; Oenothera platanorum; Chylismia eastwoodiae; Eremothera chamaenerioides; Oenothera havardii; Oenothera maysillesii; Chylismia cardiophylla; Chylismia brevipes; Oenothera texensis; Camissoniopsis quadalupensis; Clarkia amoena; Oenothera longiflora; Oenothera coryi; Camissonia campestris; Oenothera seifrizii; Oenothera centauriifolia; Oenothera demareei; Onagraceae; Clarkia imbricata; Oenothera pedunculifolia; Camissoniopsis ignota; Tetrapteron graciliflorum; Clarkia mildrediae; Clarkia mosquinii; Oenothera simulans; Oenothera punae; Oenothera caespitosa; Oenothera kunthiana; Oenothera grandiflora; Oenothera deltoides; Oenothera pallida; Oenothera falfurriae; Camissonia benitensis; Oenothera arida; Clarkia jolonensis; Oenothera glaucifolia; Oenothera spachiana; Chylismia walkeri; Clarkia rhomboidea; Gayophytum heterozygum; Gayophytum racemosum; Camissoniopsis luciae; Eremothera refracta; Chylismiella pterosperma; Chylismia confertiflora; Gayophytum ramosissimum; Oenothera toumeyi; Oenothera primiveris; Oenothera picensis ssp picensis; Holmgrenia hilgardii; Clarkia breweri; Camissonia sierrae; Oenothera linifolia; Oenothera pubescens; Oenothera mollissima; Holmgrenia andina; Oenothera curtisii; Eremothera gouldii; Oenothera; Oenothera tubicula; Oenothera ravenii ssp chilensis; Oenothera nuttallii; Oenothera arequipensis; Oenothera curtiflora; Oenothera coquimbensis; Camissonia pubens; Oenothera stuchii; Chylismia specicola; Oenothera macrocarpa; Clarkia delicata; Clarkia australis; Oenothera mendocinensis; Oenothera rivadaviae; Oenothera dissecta; Eulobus angelorum; Clarkia gracilis; Eulobus californicus; Camissonia parvula; Clarkia bottae; Oenothera sandiana; Chylismia munzii; Gayophytum d. parviflorum; Oenothera tamrae; Clarkia unguiculata; Oenothera hartwegii; Oenothera elata; Oenothera xenogaura; Gayophytum decipiens; Clarkia williamsonii; Oenothera speciosa; Oenothera featherstonei; Oenothera stricta stricta; Oenothera triloba; Chylismia parryi; Chylismia heterochroma; Oenothera glazioviana; Oenothera mckelveyae; Taraxia breviflora; Oenothera jamesii; Oenothera psammophila; Oenothera montevidensis; Oenothera lindeimeri; Oenothera neomexicana; Clarkia davyi; Camissonia kernensis; Eremothera nevadensis; Oenothera clelandii; Oenothera santarii; Oenothera pennellii; Camissonia contorta; Oenothera villosa; Camissoniospsis pallida; Camissonia lacustris; Clarkia rubicunda; Oenothera rhombipetala; Oenothera organensis; Oenothera pilosella; Oenothera versicolor; Oenothera paradonia; Chylismia atwoodii; Camissoniopsis robusta; Oenothera verrucosa; Gayophytum humile; Clarkia tembloriensis; Clarkia tenella; Oenothera scabra; Gayophytum oligospermum; Oenothera cordata; Eulobus crassifolius; Chylismia arenaria; Clarkia prostata; Clarkia similis; Camissoniopsis hardhamiae; Taraxia ovata; Oenothera tafiensis; Camissonia pusilla; Eremothera pygmaea,species,organisms,not_applicable,not_applicable,dataset,english,The record is a dataset about specific plant species and their diversification and reproductive modes.,2883,2794,
oai:borealisdata.ca-dataverse-ubc:784853_73901,gemini-3.5-flash-lite,True,threespine sticklebacks; stickleback; Benthics; Limnetics,species,organisms,not_applicable,not_applicable,dataset,english,The record is a dataset about the evolution and traits of threespine sticklebacks.,1008,141,
oai:data.torontopolice.on.ca-pages-open-data:79c8e950bfe54ce39334ba108e1b325f,gemini-3.5-flash-lite,False,,none,human_health,not_applicable,not_applicable,dataset,english,"The record provides police service call data regarding persons in crisis and medical emergencies, which relates to human health and administrative safety rather than living organisms in an ecological context.",1031,125,
oai:datadryad.org:doi:10.5061/dryad.h9w0vt4dx,gemini-3.5-flash-lite,True,Larix laricina; eastern larch; tamarack; trees; larch,species,organisms,not_applicable,not_applicable,dataset,english,The record is a dataset presenting genetic and distribution data for the species Larix laricina.,1118,146,
oai:datadryad.org:doi:10.5061/dryad.dv41ns25p,gemini-3.5-flash-lite,True,Sockeye; Salmon; Oncorhynchus; Oncorhynchus nerka; sockeye salmon; smolts,species,organisms,not_applicable,not_applicable,dataset,english,The record is a dataset about physiological conditions and behaviour of sockeye salmon.,965,155,
oai:datadryad.org:doi:10.5061/dryad.x0k6djj12,gemini-3.5-flash-lite,True,Arctic charr,species,organisms,not_applicable,not_applicable,dataset,english,"The record provides data and code studying the migrations, trophic niche, and movement behavior of Arctic charr populations.",1031,123,
oai:open.canada.ca:eb3d7bf5-02fc-4fc1-9977-949f10e716e5,gemini-3.5-flash-lite,False,,none,administrative,not_applicable,not_applicable,policy,french,"The record is about federal construction contract wage rates and labour regulations, containing no living organisms or related topics.",1035,112,
oai:open.canada.ca:b0923b61-2d1a-462b-a0af-5d98b2aa793c,gemini-3.5-flash-lite,False,,none,administrative,not_applicable,not_applicable,dataset,french,"This record contains economic and poverty measurement thresholds by region, which is an administrative topic not involving living organisms.",781,112,
oai:catalogue.cioos.ca:e0b3ef1f-c777-48c9-acf0-0ac1edc67be2,gemini-3.5-flash-lite,False,,none,physical_environment,not_applicable,not_applicable,dataset,french,The record is about the deployment of a carbon dioxide sensor measuring physical and chemical properties in seawater without naming any specific organisms.,946,117,
oai:open.canada.ca:08220a26-2e88-402c-876f-1891456b0c37,gemini-3.5-flash-lite,True,population yukonnaise,species,human_health,not_applicable,not_applicable,report,french,The record is about human health status reports published by the Chief Medical Officer of Health.,770,120,
oai:data.ontario.ca:financial-and-student-data-for-the-dual-credits-program,gemini-3.5-flash-lite,False,,none,administrative,not_applicable,not_applicable,dataset,french,"The record concerns financial and student data for an education program, which falls under administrative topics with no living organisms mentioned.",846,114,
oai:open.canada.ca:8f044bba-1182-45ff-a29f-43631e0155a9,gemini-3.5-flash-lite,True,têtes-de-boule; Pimephales promelas,species,organisms,not_applicable,not_applicable,dataset,french,The record is a dataset about the toxicity of snowmelt contaminated by oil sands emissions on fathead minnow larvae.,1917,138,
oai:catalogue.data.gov.bc.ca:pending-pesticide-operating-zone-110381,gemini-3.5-flash-lite,False,,none,land_and_boundaries,not_applicable,no,dataset,english,"The record concerns operating zones and pesticide application areas, which relate to land boundaries without stating an ecological purpose.",748,114,
oai:open.ottawa.ca:13092822f69143b695bdb916357d421b,gemini-3.5-flash-lite,True,Tree; Trees,group,forestry_agriculture_fisheries,yes,not_applicable,dataset,english,"The record is a street and park tree inventory managed by forestry, making it about organisms in a forestry context.",750,129,
oai:borealisdata.ca-dataverse-ualberta:220744_203146,gemini-3.5-flash-lite,True,infants,species,human_health,not_applicable,not_applicable,dataset,english,"The record is a dataset study assessing ventilatory control and sleep disordered breathing in human infants with cleft lip and or palate, which falls under human health.",883,126,
oai:catalogue.data.gov.bc.ca:wsa-third-order-and-greater-watersheds-50-000,gemini-3.5-flash-lite,False,,none,land_and_boundaries,not_applicable,no,dataset,english,"The record is about watershed polygons based on topographic maps, which falls under land and boundaries without stating an ecological purpose or mentioning living things.",782,120,
oai:open.canada.ca:399fa7e0-8900-42db-8f34-7849fc2f647f,gemini-3.5-flash-lite,False,,none,administrative,not_applicable,not_applicable,dataset,english,The record presents government financial data series and does not concern living organisms or ecosystems.,794,107,
oai:open.canada.ca:c00f95a3-7bab-4d28-b9cc-b30f06b5afd2,gemini-3.5-flash-lite,False,,none,physical_environment,not_applicable,not_applicable,dataset,french,The record provides a dataset of flood susceptibility mapping based on climate scenarios and hydrological factors without mentioning any living things.,1144,115,
oai:borealisdata.ca-dataverse-carleton:81898_157_81319_81325_81754,gemini-3.5-flash-lite,False,,none,administrative,not_applicable,not_applicable,dataset,english,"The record is about a public opinion poll concerning economic, political, and social issues with no mention of living things.",892,114,
oai:datadryad.org:doi:10.5061/dryad.1v244,gemini-3.5-flash-lite,True,Bromeliaceae; Vriesea procera; Odontomachus hastatus; Ostracoda; Helobdella sp.,species,organisms,not_applicable,not_applicable,dataset,english,The record provides research data and focuses on the effects of a specific predatory ant species and other organisms within bromeliad food webs.,1195,163,
oai:open.canada.ca:0bc6c735-36b9-4241-be58-b39b6199ea4d,gemini-3.5-flash-lite,True,oiseaux; espèces d'oiseaux; oiseaux des prairies,group,organisms,not_applicable,not_applicable,dataset,french,The record provides population trends and annual indices for various bird species in Canada based on survey data.,1170,136,
oai:open.canada.ca:f54da23c-3a17-11ef-90aa-8b219c568296,gemini-3.5-flash-lite,True,touladi; poissons; caribou,species,forestry_agriculture_fisheries,yes,not_applicable,dataset,french,The record is a dataset primarily concerning the monitoring and sustainable management of fish species such as the touladi in Great Bear Lake.,1582,142,
oai:open.canada.ca:7a1f486b-e43f-49d6-bfe7-e85305101568,gemini-3.5-flash-lite,False,,none,other,not_applicable,not_applicable,dataset,french,The record describes an administrative dataset about oil and gas facility location applications and does not concern living organisms.,908,111,
oai:open.canada.ca:3a24f406-b4b7-0aae-18b7-14e46f16c2ba,gemini-3.5-flash-lite,False,,none,administrative,not_applicable,not_applicable,dataset,english,This record is an archived census dataset reporting human ethnicity and geographic boundaries without any reference to living organisms or ecosystems.,894,113,
oai:borealisdata.ca-dataverse-lakehead:921463_403479,gemini-3.5-flash-lite,True,meadow voles,species,organisms,not_applicable,not_applicable,dataset,english,The record is a dataset containing data on rabbit chow provided and eaten by meadow voles during treatment periods.,969,123,
oai:open.canada.ca:cf38b746-086b-4ae9-8bc8-98d1d046a8c0,gemini-3.5-flash-lite,False,,none,human_health,not_applicable,not_applicable,dataset,french,The record is about human mortality statistics categorized by cause of death and sex.,792,108,
oai:frdr-dfdr.ca-go-mountainlegacy:oai:www.frdr-dfdr.ca:0bec66da-d25e-5457-e29b-3828ca09f7c4,gemini-3.5-flash-lite,False,,none,physical_environment,not_applicable,not_applicable,dataset,english,The record is about historical and repeated landscape photography and environmental change in the Canadian Rockies without naming specific living organisms.,920,115,
oai:borealisdata.ca-dataverse-ubc:152886_150149,gemini-3.5-flash-lite,True,phytoplankton; Tetraselmis tetrahele; phytoplankton species,species,organisms,not_applicable,not_applicable,dataset,english,The record is a dataset presenting population growth data and thermal performance curves for specific phytoplankton species like Tetraselmis tetrahele.,957,144,
oai:open.library.ubc.ca-cIRcle-collections-birs:oai:circle.library.ubc.ca:2429/66435,gemini-3.5-flash-lite,True,Drosophila melanogaster; Drosophila; mammalian,species,organisms,not_applicable,not_applicable,other,english,"The record discusses a mathematical model of the Hippo pathway in Drosophila melanogaster, focusing on cellular processes in organisms.",912,134,
oai:open.canada.ca:8cf43e2b-f276-4fb7-8d3a-e20fecc618b4,gemini-3.5-flash-lite,True,humpback whales; rorquals à bosse; baleines; rorqual bleu,species,organisms,not_applicable,not_applicable,dataset,french,The record is primarily about the distribution and photo-identification of humpback whales and other whale species.,1165,146,
oai:opendata.gov.nt.ca:2013-hunted-fished-or-trapped-by-community,gemini-3.5-flash-lite,True,fish,group,forestry_agriculture_fisheries,no,not_applicable,dataset,english,"The record covers community hunting, fishing, and trapping activities as resource harvest, focusing on traditional activities rather than species biology.",769,126,
oai:open.canada.ca:57aec7ec-b2b2-500e-a0ba-77e64ed20fa9,gemini-3.5-flash-lite,False,,none,physical_environment,not_applicable,not_applicable,dataset,french,The record describes an airborne or marine geophysical survey measuring the total magnetic field without mentioning any living organisms.,840,113,
oai:datadryad.org:doi:10.5061/dryad.gr93t,gemini-3.5-flash-lite,True,Compositae; Asteraceae,group,organisms,not_applicable,not_applicable,dataset,english,The record is a dataset about phylogenetic methods and sequencing for the plant family Compositae.,955,126,
oai:datadryad.org:doi:10.5061/dryad.pnvx0k6nk,gemini-3.5-flash-lite,True,mountain bluebirds; Sialia currucoides,species,organisms,not_applicable,not_applicable,dataset,english,"This record is a research dataset concerning the diet and growth of a specific bird species, the mountain bluebird.",1136,134,
oai:borealisdata.ca-dataverse-toronto:290437_36,gemini-3.5-flash-lite,True,,none,administrative,not_applicable,not_applicable,dataset,english,"The record is a statistical yearbook dataset covering economic, social, and environmental data without naming specific living organisms.",983,112,
oai:catalogue.data.gov.bc.ca:isobel-lake-ecosystem-mapping-stand-structure-kamloops-tsa,gemini-3.5-flash-lite,True,,none,forestry_agriculture_fisheries,no,not_applicable,dataset,english,"The record concerns forestry ecosystem mapping and stand structure at Isobel Lake, which relates to resource management without focusing on specific organism populations.",755,120,
oai:datadryad.org:doi:10.5061/dryad.n6c67,gemini-3.5-flash-lite,True,Centaurea jacea; Euphorbia cyparissias; Tussilago farfara; Penstemon hirsutus; Hieracium kalmii; Podophyllum peltatum; Mirabilis spp.; Medicago lupulina; Hackelia virginiana; Lythrum salicaria; Phlox paniculata; Urtica chamaedryoides; Trifolium dubium; Anemone canadensis; Antennaria neglecta; Ranunculus acris; Rumex crispus; Conzya canadensis; Oxalis corniculata; Trillium spp.; Leonurus cardiaca; Lotus corniculatus; Trifolium hybridum; Urtica dioica; Acrtium minus; Matricaria matricarioides; Veronica serpyllifolia; Lysimachia ciliata; Verbena hastata; Phryma leptostachya; Ambrosia trifida; Rumex acetosella; Echium vulgare; Malva neglecta; Geranium robertanium; Campanula rapunculoides; Oenothera biennis; Cerastium vulgatum; Sisyrinchium montanum; Erigeron philadelphicus; Aster cordifolius; Hydrophyllum virginianum; Cerastium arvense; Hespersis matronalis; Polygonum persicaria; Melilotus officinalis; Geum triflorum; Daucus carota; Actaea alba; Melilotus alba; Medicago sativa; Silene nivea; Symphytum spp.; Desmodium spp.; Lathyrus latifolius; Thlaspi arvense; Sonchus oleraceus; Solidago canadensis; Anemone virginiana; Smilacina racemosa; Lactuca serriola; Impatiens capensis; Campanula rotundifolia; Achillea millefolium; Helianthus divaricatus; Oenothera perennis; Gallium mollugo; Veronica peregrina; Taraxacum officinale; Prunella vulgaris; Verbascum thapus; Aquilegia canadensis; Ambrosia artemisiifolia; Linaria vulgaris; Apocynum androsaemifolium; Dianthus armeria; Geranium maculatum; Stellaria media; Carduus acanthoides; Arassica rapa; Erigeron strigosus; Saponaria officinalis; Isanthus brachiatus; Potentilla recta; Anaphalis margaritacea; Tragopogon pratensis; Solidago flexicaulis; Hieracium piloselloides; Arenaria serpyllifolia; Matricaria recutita; Glechoma hederacea; Cirsium muticum; Chenopodium capitatum; Eupatorium maculatum; Agrimonia gryosepala; Cirsium vulgare; Allium cernuum; Asclepsias syriaca; Thymus serpyllum; Barbarea vulgaris; Aster lanceolatus; Plantago lanceolata; Aster umbellata; Veronica arvensis; Epilobium hirsutum; Solidago juncea; Trifolium pratense; Fragaria virginiana; Geum canadense; Convolvulus arvensis; Solidago caesia; Cynoglossum officinale; Chrysanthemum leucanthemum; Sedum acre; Cichorium intybus; Verbena simplex; Vincetoxicum rossicum; Coronilla varia; herbaceous species; Alliara petiolata; Vicia cracca; Aster novae-angliae; Silene vulgaris; Plantago major; Potentilla argentea; Lobelia cardinalis; Arabis glabra; Hieracium spp.; Inula helenium; Epipactis helleborine; Mentha arvensis; Asclepsias incarnata; Lapsana communis; Clinopodium vulgaris; Euthamia graminifolia; Sonchus arvensis; Hieracium aurantiacum; Hypericum perforatum; Lactuca saligna,species,organisms,not_applicable,not_applicable,dataset,english,The record provides research data and measurements investigating body size and traits of numerous specific plant species.,1996,1353,
oai:datadryad.org:doi:10.5061/dryad.v6wwpzh8p,gemini-3.5-flash-lite,True,mammals,group,organisms,not_applicable,not_applicable,dataset,english,The record contains a dataset of mammal home range estimates and GPS tracking data to study animal movement ecology.,892,114,
oai:open.moncton.ca:86446234c49d47bb8cbcbcf95e8698c3,gemini-3.5-flash-lite,False,,none,administrative,not_applicable,not_applicable,other,english,This record is a public notice regarding an administrative or municipal matter and does not concern living organisms.,739,110,
oai:datadryad.org:doi:10.5061/dryad.wpzgmsbt0,gemini-3.5-flash-lite,True,Salmon; Trout; Atlantic salmon; Salmo salar; brook char; Salvelinus fontinalis; brown trout; Salmo trutta,species,organisms,not_applicable,not_applicable,dataset,english,"The record is a dataset about reproductive biology, sperm performance, and hybridization among specific fish species.",1078,167,
oai:data.whiterockcity.ca:ef4f25fac0c74beabd67fff2f442954c,gemini-3.5-flash-lite,False,,none,physical_environment,not_applicable,not_applicable,dataset,english,"The record provides sanitary catchment areas and sewer data, which is infrastructure and physical mapping with no living subjects mentioned.",743,115,
oai:catalogue.data.gov.bc.ca:forest-tenure-chart-block-polygons,gemini-3.5-flash-lite,True,forest,group,forestry_agriculture_fisheries,no,not_applicable,dataset,english,The record is about forest tenure chart block polygons and administrative forestry tenures rather than the organisms themselves.,902,122,
oai:datadryad.org:doi:10.5061/dryad.351h3,gemini-3.5-flash-lite,True,Coregonus lavaretus; European whitefish; whitefish,species,organisms,not_applicable,not_applicable,dataset,english,The record is a dataset about the phenotype-environment association and adaptive radiation of European whitefish populations.,998,137,
oai:open.canada.ca:61719676-f1a3-5ec3-8b0e-a091a3c13f8a,gemini-3.5-flash-lite,False,,none,physical_environment,not_applicable,not_applicable,dataset,french,The record focuses on snow depth measurements and meteorological data without featuring living organisms as the primary subject.,1312,112,
oai:catalogue.data.gov.bc.ca:mgmnt-initiative-crown-land-priority-habitat-south-okanagan-soscp,gemini-3.5-flash-lite,True,,none,land_and_boundaries,not_applicable,yes,dataset,english,"The record contains priority habitat polygons on crown land for a conservation society, making it a land and boundaries dataset with an ecological purpose.",788,119,
oai:https-zenodo.org:10.5281/zenodo.10963217,gemini-3.5-flash-lite,False,,none,other,not_applicable,not_applicable,dataset,english,This record is a software refactoring dataset and contains no living organisms or ecological information.,909,108,
oai:open.canada.ca:c2939964-9f0d-d6fc-340c-5899752871ee,gemini-3.5-flash-lite,False,,none,administrative,not_applicable,not_applicable,dataset,french,"The record is about community clusters for health service planning and research, so it concerns administrative boundaries rather than living organisms.",818,114,
oai:open.penticton.ca:561f405e335f484da13e95a90a698272,gemini-3.5-flash-lite,False,,none,land_and_boundaries,not_applicable,no,dataset,english,The record is a topographic and geographic overview map of a city showing infrastructure and boundaries without an ecological purpose.,899,114,
oai:borealisdata.ca-dataverse-odesi-data:593918_493340,gemini-3.5-flash-lite,False,,none,other,not_applicable,not_applicable,dataset,english,"The record describes a survey on household behaviours related to the environment, air quality, and water quality without mentioning any specific living organisms.",935,117,
oai:borealisdata.ca:386823_200569,gemini-3.5-flash-lite,False,,none,land_and_boundaries,not_applicable,no,dataset,english,This record is a historical topographic map sheet showing geographic features and infrastructure with no ecological purpose or living organisms specified.,1100,115,
oai:pangaea.de:10.1594/pangaea.962114,gemini-3.5-flash-lite,False,,none,physical_environment,not_applicable,not_applicable,dataset,english,The record provides ROV survey videos focusing on sea ice physics and atmospheric measurements with no living things mentioned.,954,114,
oai:borealisdata.ca-dataverse-odesi-data:595293_493340,gemini-3.5-flash-lite,False,,none,other,not_applicable,not_applicable,dataset,english,"This record is about international travel surveys and human activities, with no mention of living organisms or ecosystems.",840,111,
oai:catalogue.data.gov.bc.ca:lw-test4,gemini-3.5-flash-lite,False,,none,other,not_applicable,not_applicable,dataset,english,"The record contains only test data without any mention of living things, organisms, or specific topics.",726,110,
oai:donneesquebec.ca:systeme-de-grilles-vectorielles-pour-une-infrastructure-quebecoise-de-donnees-spatiales,gemini-3.5-flash-lite,False,,none,land_and_boundaries,not_applicable,no,dataset,french,The record provides a vector grid spatial infrastructure for land accounts and geographic data integration with no living subjects or ecological conservation purposes stated.,2369,118,
oai:datadryad.org:doi:10.5061/dryad.cz8w9gj2c,gemini-3.5-flash-lite,True,host; pathogen,group,organisms,not_applicable,not_applicable,dataset,english,The record is a dataset about host-parasite models focusing on genetic variation and coevolution.,995,124,
oai:open.canada.ca:a86ebc7b-83b1-4a9b-a935-84061f6cbd39,gemini-3.5-flash-lite,True,goélands; sternes; goéland à bec cerclé; sterne pierragarin,species,organisms,not_applicable,not_applicable,dataset,french,The record describes data collection on specific waterbird species and their eggs to monitor environmental contaminants.,1019,144,
oai:borealisdata.ca-dataverse-odesi-data:52311_493341,gemini-3.5-flash-lite,False,,none,administrative,not_applicable,not_applicable,dataset,english,The record provides statistical information on business innovation and enterprise strategies with no living organisms or ecosystems mentioned.,883,110,
oai:open.moncton.ca:2e6cc6e186c1429f90209c8d512cbcce,gemini-3.5-flash-lite,False,,none,administrative,not_applicable,not_applicable,other,french,"The record is an urban rezoning request form, which is an administrative matter unrelated to living things.",733,111,
oai:borealisdata.ca-dataverse-inrs:659512_134725,gemini-3.5-flash-lite,True,Diatom; Unicellular green alga; green alga C. reinhardtii; diatom N. palea,species,organisms,not_applicable,not_applicable,dataset,english,The record is a dataset about specific microalgae species and their physiological responses to platinum exposure.,850,153,
oai:https-zenodo.org:10.5281/zenodo.17486536,gemini-3.5-flash-lite,True,Avian Influenza; avian influenza,group,organisms,not_applicable,not_applicable,dataset,english,The record provides datasets for forecasting Highly Pathogenic Avian Influenza in Canada using web-based data.,1294,127,
oai:donneesquebec.ca:ecoparc,gemini-3.5-flash-lite,False,,none,land_and_boundaries,not_applicable,no,dataset,french,The record provides locations of ecoparks in Repentigny without mentioning living organisms or ecological purposes.,755,113,
oai:open.library.ubc.ca-cIRcle-collections-birs:oai:circle.library.ubc.ca:2429/75898,gemini-3.5-flash-lite,False,,none,other,not_applicable,not_applicable,report,english,The record is a mathematical physics paper about matrices and operator theory with no relation to living organisms.,915,110,
oai:borealisdata.ca-dataverse-queens:563223_563202,gemini-3.5-flash-lite,False,,none,administrative,not_applicable,not_applicable,dataset,english,"The record is about Canadian federal election telephone surveys and public opinion polls, which do not concern living things.",984,112,
oai:datadryad.org:doi:10.5061/dryad.s2692,gemini-3.5-flash-lite,True,arbuscular mycorrhizal (AM) fungi; Plantago lanceolata; competitor old-field species,species,organisms,not_applicable,not_applicable,dataset,english,The record is a research dataset about mycorrhizal feedback and competition between specific plant species and fungi.,1101,144,
oai:datadryad.org:doi:10.5061/dryad.sxksn03fh,gemini-3.5-flash-lite,True,,none,organisms,not_applicable,not_applicable,dataset,english,"The record is a dataset about the genetic covariances and evolution of sexual dimorphism across traits and species, though no specific organism names are listed.",1010,120,
oai:open.ottawa.ca:dccee3ab9f414b98aa8a9af461f093b9,gemini-3.5-flash-lite,False,,none,human_health,not_applicable,not_applicable,dataset,english,"The record is about the sociodemographic metrics of youth not in employment, education, or training, so it does not concern living things in an ecological or biological sense and falls under human well-being.",999,134,
oai:borealisdata.ca-dataverse-odesi-data:571722_493340,gemini-3.5-flash-lite,False,,none,administrative,not_applicable,not_applicable,dataset,french,"The record is about the Labour Force Survey (Enquête sur la population active) measuring employment, unemployment, and demographics without addressing living organisms or ecosystems.",1453,121,
oai:borealisdata.ca-dataverse-carleton:108981_106202,gemini-3.5-flash-lite,False,,none,other,not_applicable,not_applicable,report,english,"The record describes an architectural and historical assessment project dossier for a historic museum building, involving no living things or ecological topics.",1075,115,
oai:open.canada.ca:e736c0f0-b19e-4842-903d-28bfc756d48a,gemini-3.5-flash-lite,True,benthic species; cnidaires; taxons benthiques,group,organisms,not_applicable,not_applicable,dataset,french,The record is a dataset about the presence and absence of benthic species derived from video and imagery in the Lower Bay of Fundy.,1473,143,
oai:https-zenodo.org:10.5281/zenodo.16333905,gemini-3.5-flash-lite,True,,none,habitat_or_ecosystem,not_applicable,not_applicable,dataset,english,"The record contains analysis and plotting code for vegetation models, focusing on the ecosystem aspect rather than specific organisms or policy.",756,119,
oai:donneesquebec.ca:milieux-humides-levis,gemini-3.5-flash-lite,False,,none,physical_environment,not_applicable,not_applicable,dataset,french,The record describes potential wetlands within the territory of the city of Lévis as a physical and hydrological feature without naming any specific organisms.,782,119,
oai:opendata.kelowna.ca:7a48a34402704a66840d27e2854887b1,gemini-3.5-flash-lite,True,fish,group,habitat_or_ecosystem,not_applicable,not_applicable,dataset,english,"The record is a dataset mapping creeks and aquatic habitats for fish, making it primarily about a habitat or ecosystem rather than specific organisms.",820,130,
oai:open.canada.ca:88e9b97e-501b-43e2-8570-84830f85455b,gemini-3.5-flash-lite,False,,none,administrative,not_applicable,not_applicable,dataset,french,The record provides retail trade sales data categorized by industry classification and is administrative in nature without any mention of living organisms.,921,114,
oai:data-hrm.hub.arcgis.com-pages-open-data-catalogue:b18c30ed07ca40edb9d99cee95205540,gemini-3.5-flash-lite,True,,none,land_and_boundaries,not_applicable,yes,dataset,english,"The record is a raster dataset representing ecological open space values and land use planning for the Halifax Green Network Plan, serving an ecological and conservation purpose.",852,122,
oai:open.canada.ca:a5a4774a-7a4e-4c4e-8901-da48c1c2d6e8,gemini-3.5-flash-lite,True,espèces d'arbres,group,habitat_or_ecosystem,not_applicable,not_applicable,dataset,french,"The record provides a dataset of greenhouse gas emissions for forested ecosystems in a national park reserve, involving broad tree species categories within an ecosystem context.",1497,136,
